date,high,low,close,fluctuation,最近N1个交易日的最高点,最近N2个交易日的最低点,当天的仓位,资金指数
2017-01-03,9282,9231,9281,19,,,,
2017-01-04,9295,9261,9273,-7,,,,
2017-01-05,9354,9266,9340,69,,,,
2017-01-06,9375,9338,9367,25,,,,
2017-01-09,9409,9325,9344,-21,,,,
2017-01-10,9350,9320,9342,0,,,,
2017-01-11,9396,9333,9338,-3,,,,
2017-01-12,9433,9350,9410,73,,,,
2017-01-13,9397,9361,9374,-37,,,,
2017-01-16,9362,9274,9286,-89,,,,
2017-01-17,9344,9280,9341,56,,,,
2017-01-18,9349,9314,9340,0,,,,
2017-01-19,9342,9254,9306,-10,,,,
2017-01-20,9338,9278,9330,26,,,,
2017-01-23,9423,9318,9407,77,,,,
2017-01-24,9464,9405,9446,39,,,,
2017-02-02,9510,9373,9375,-67,,,,
2017-02-03,9458,9408,9439,64,,,,
2017-02-06,9533,9441,9505,68,,,,
2017-02-07,9525,9482,9520,15,9533.0,9231.0,,
2017-02-08,9535,9463,9515,-5,9535.0,9254.0,,
2017-02-09,9579,9505,9576,61,9579.0,9254.0,,
2017-02-10,9681,9586,9658,84,9681.0,9254.0,1.0,39444.25
2017-02-13,9705,9661,9705,48,9705.0,9254.0,1.0,1932768.25
2017-02-14,9758,9695,9710,6,9758.0,9254.0,1.0,13529377.75
2017-02-15,9801,9722,9800,92,9801.0,9254.0,1.0,1258232130.75
2017-02-16,9852,9758,9772,-29,9852.0,9254.0,1.0,-35230499661.0
2017-02-17,9786,9747,9762,-8,9852.0,9254.0,1.0,246613497627.0
2017-02-18,9789,9772,9788,25,9852.0,9254.0,1.0,6411950938302.0
2017-02-20,9814,9737,9766,-20,9852.0,9254.0,1.0,-121827067827738.0
2017-02-21,9785,9728,9766,0,9852.0,9254.0,1.0,-121827067827738.0
2017-02-22,9827,9767,9783,16,9852.0,9254.0,1.0,-2071060153071546.0
2017-02-23,9820,9755,9772,-11,9852.0,9278.0,1.0,2.071060153071546e+16
2017-02-24,9786,9730,9761,-12,9852.0,9318.0,1.0,-2.2781661683787008e+17
2017-03-01,9770,9678,9682,-78,9852.0,9373.0,1.0,1.7541879496515996e+19
2017-03-02,9784,9643,9691,8,9852.0,9373.0,1.0,1.5787691546864396e+20
2017-03-03,9672,9623,9629,-62,9852.0,9408.0,1.0,-9.630491843587283e+21
2017-03-06,9684,9619,9683,53,9852.0,9441.0,1.0,-5.2004655955371325e+23
2017-03-07,9734,9682,9727,45,9852.0,9463.0,1.0,-2.392214173947081e+25
2017-03-08,9765,9701,9748,20,9852.0,9463.0,1.0,-5.023649765288871e+26
2017-03-09,9742,9642,9652,-94,9852.0,9505.0,1.0,4.671994281718649e+28
2017-03-10,9652,9555,9625,-24,9852.0,9555.0,1.0,-1.0745586847952893e+30
2017-03-13,9698,9643,9692,68,9852.0,9555.0,1.0,-7.414454925087496e+31
2017-03-14,9767,9711,9749,56,9852.0,9555.0,1.0,-4.2262393072998724e+33
2017-03-15,9752,9715,9732,-16,9852.0,9555.0,1.0,6.339358960949808e+34
2017-03-16,9852,9782,9840,113,9852.0,9555.0,1.0,7.226869215482782e+36
2017-03-17,9896,9837,9890,50,9896.0,9555.0,1.0,3.685703299896218e+38
2017-03-20,9908,9855,9895,6,9908.0,9555.0,1.0,2.5799923099273528e+39
2017-03-21,9980,9916,9962,66,9980.0,9555.0,1.0,1.7285948476513263e+41
2017-03-22,9907,9851,9898,-65,9980.0,9555.0,1.0,-1.1063007024968489e+43
2017-03-23,9952,9879,9909,13,9980.0,9555.0,1.0,-1.5488209834955882e+44
2017-03-24,9928,9883,9901,-8,9980.0,9555.0,1.0,1.0841746884469119e+45
2017-03-27,9917,9844,9865,-35,9980.0,9555.0,1.0,-3.6861939407195006e+46
2017-03-28,9927,9805,9883,17,9980.0,9555.0,1.0,-6.6351490932951014e+47
2017-03-29,9904,9851,9862,-22,9980.0,9555.0,1.0,1.3933813095919712e+49
2017-03-30,9888,9834,9850,-10,9980.0,9555.0,1.0,-1.2540431786327742e+50
2017-03-31,9872,9812,9821,-27,9980.0,9555.0,1.0,3.260512264445213e+51
2017-04-05,9968,9843,9961,140,9980.0,9555.0,1.0,4.59732229286775e+53
2017-04-06,9941,9880,9897,-65,9980.0,9555.0,1.0,-2.94228626743536e+55
2017-04-07,9905,9772,9863,-32,9980.0,9555.0,1.0,9.121087429049617e+56
